Gm (Vtun=-0.2) X,Gm (Vtun=-0.2) Y,Gm (Vtun=-0.1) X,Gm (Vtun=-0.1) Y,Gm (Vtun=0) X,Gm (Vtun=0) Y,Gm (Vtun=0.1) X,Gm (Vtun=0.1) Y,Gm (Vtun=0.2) X,Gm (Vtun=0.2) Y,Gm (Vtun=0.3) X,Gm (Vtun=0.3) Y
-1.4,2.001326125310333e-07,-1.4,1.879736578466463e-07,-1.4,1.631832590573326e-07,-1.4,1.382255428984016e-07,-1.4,1.137983831780202e-07,-1.4,8.980138363449617e-08
-1.3,2.006382016593969e-07,-1.3,1.884705669479792e-07,-1.3,1.636061868411958e-07,-1.3,1.385819694530277e-07,-1.3,1.140906908827269e-07,-1.3,9.003351038704707e-08
-1.2,2.005718555230553e-07,-1.2,1.884045291678369e-07,-1.2,1.635398215269692e-07,-1.2,1.385242114857256e-07,-1.2,1.140422289626466e-07,-1.2,8.999654756507832e-08
-1.1,2.002695486076017e-07,-1.1,1.881086035431251e-07,-1.1,1.632742240095156e-07,-1.1,1.382978708124067e-07,-1.1,1.138551000433523e-07,-1.1,8.985002465408496e-08
-0.9999999999999997,1.999042198517047e-07,-0.9999999999999997,1.877529147285356e-07,-0.9999999999999997,1.629574569345802e-07,-0.9999999999999997,1.380283188744807e-07,-0.9999999999999997,1.136324754965345e-07,-0.9999999999999997,8.967538005957115e-08
-0.8999999999999997,1.99554511161586e-07,-0.8999999999999997,1.874140338794012e-07,-0.8999999999999997,1.626561036074817e-07,-0.8999999999999997,1.377719366476101e-07,-0.8999999999999997,1.134207555928481e-07,-0.8999999999999997,8.950924029661747e-08
-0.7999999999999997,1.992496146784879e-07,-0.7999999999999997,1.871198646665504e-07,-0.7999999999999997,1.623943899598196e-07,-0.7999999999999997,1.37549239118838e-07,-0.7999999999999997,1.132368256051271e-07,-0.7999999999999997,8.936493452935593e-08
-0.6999999999999997,1.989955338111748e-07,-0.6999999999999997,1.86875706652831e-07,-0.6999999999999997,1.621768843417946e-07,-0.6999999999999997,1.373640956855473e-07,-0.6999999999999997,1.130838719195452e-07,-0.6999999999999997,8.924497889638888e-08
-0.5999999999999998,1.987889508637429e-07,-0.5999999999999998,1.866779067700951e-07,-0.5999999999999998,1.620003790326157e-07,-0.5999999999999998,1.37213790796352e-07,-0.5999999999999998,1.12959661159801e-07,-0.5999999999999998,8.91476115148981e-08
-0.4999999999999998,1.986238658757696e-07,-0.4999999999999998,1.865203349222026e-07,-0.4999999999999998,1.618595219806293e-07,-0.4999999999999998,1.370937927783219e-07,-0.4999999999999998,1.128604648032583e-07,-0.4999999999999998,8.906989028468595e-08
-0.3999999999999998,1.984944117491341e-07,-0.3999999999999998,1.86397095086233e-07,-0.3999999999999998,1.617491721678108e-07,-0.3999999999999998,1.36999748409718e-07,-0.3999999999999998,1.127827007931437e-07,-0.3999999999999998,8.900898862654958e-08
-0.2999999999999998,1.983958185808092e-07,-0.2999999999999998,1.863034306093781e-07,-0.2999999999999998,1.616651844716568e-07,-0.2999999999999998,1.369281476329898e-07,-0.2999999999999998,1.127234807189109e-07,-0.2999999999999998,8.896262737238407e-08
-0.1999999999999998,1.983245722311648e-07,-0.1999999999999998,1.86235852604148e-07,-0.1999999999999998,1.616045195102657e-07,-0.1999999999999998,1.368764166496711e-07,-0.1999999999999998,1.126806865417599e-07,-0.1999999999999998,8.892913529728517e-08
-0.09999999999999981,1.982782804168418e-07,-0.09999999999999981,1.861919923704656e-07,-0.09999999999999981,1.615651141354759e-07,-0.09999999999999981,1.368428083065495e-07,-0.09999999999999981,1.126528804560973e-07,-0.09999999999999981,8.89073779585058e-08
0,1.982554796548872e-07,0,1.861704031673361e-07,0,1.615457083450719e-07,0,1.368262555665281e-07,0,1.126391843316855e-07,0,8.889666253906589e-08
0.1,1.982554796807978e-07,0.1,1.861704031912573e-07,0.1,1.615457083662423e-07,0.1,1.368262555841206e-07,0.1,1.126391843466564e-07,0.1,8.889666255032397e-08
0.2,1.982782804990289e-07,0.2,1.861919924457229e-07,0.2,1.615651142008636e-07,0.2,1.368428083620875e-07,0.2,1.126528805012289e-07,0.2,8.890737799472122e-08
0.3,1.983245723800069e-07,0.3,1.86235852741002e-07,0.3,1.616045196291092e-07,0.3,1.368764167505318e-07,0.3,1.126806866254747e-07,0.3,8.892913536303673e-08
0.4,1.983958188117686e-07,0.4,1.8630343082296e-07,0.4,1.616651846575178e-07,0.4,1.36928147790408e-07,0.4,1.127234808481658e-07,0.4,8.896262747424018e-08
0.5,1.984944120785119e-07,0.5,1.863970953915576e-07,0.5,1.617491724337336e-07,0.5,1.369997486351699e-07,0.5,1.12782700978681e-07,0.5,8.900898877333033e-08
0.6,1.986238663045022e-07,0.6,1.865203353233648e-07,0.6,1.618595223300357e-07,0.6,1.370937930740587e-07,0.6,1.128604650470979e-07,0.6,8.906989047703959e-08
0.7,1.987889513509425e-07,0.7,1.866779072301947e-07,0.7,1.620003794339245e-07,0.7,1.372137911362367e-07,0.7,1.129596614398095e-07,0.7,8.914761173567604e-08
0.7999999999999999,1.989955342227476e-07,0.7999999999999999,1.868757070480936e-07,0.7999999999999999,1.621768846869608e-07,0.7999999999999999,1.373640959780405e-07,0.7999999999999999,1.130838721597981e-07,0.7999999999999999,8.924497908618329e-08
0.8999999999999999,1.992496147204552e-07,0.8999999999999999,1.871198647154922e-07,0.8999999999999999,1.623943900041274e-07,0.8999999999999999,1.375492391564464e-07,0.8999999999999999,1.132368256362397e-07,0.8999999999999999,8.936493455383452e-08
0.9999999999999999,1.995545102550538e-07,0.9999999999999999,1.874140330168167e-07,0.9999999999999999,1.626561028560377e-07,0.9999999999999999,1.377719360111339e-07,0.9999999999999999,1.134207550683194e-07,0.9999999999999999,8.950923988290395e-08
1.1,1.999042164625396e-07,1.1,1.877529114641826e-07,1.1,1.629574540875264e-07,1.1,1.380283164616626e-07,1.1,1.136324735102215e-07,1.1,8.967537849264636e-08
1.2,2.002695357920824e-07,1.2,1.881085913149975e-07,1.2,1.632742133602013e-07,1.2,1.382978617911736e-07,1.2,1.138550926159295e-07,1.2,8.985001879379329e-08
1.3,2.005717972292547e-07,1.3,1.884044741682544e-07,1.3,1.63539773741012e-07,1.3,1.385241710094526e-07,1.3,1.140421956405264e-07,1.3,8.999652126832134e-08
1.4,2.006379310831858e-07,1.4,1.884703119138318e-07,1.4,1.636059654851088e-07,1.4,1.385817819744175e-07,1.4,1.140905365502915e-07,1.4,9.003338858189078e-08
1.5,2.001332606609663e-07,1.5,1.879742732857609e-07,1.5,1.631837937674956e-07,1.5,1.382259957636809e-07,1.5,1.137987559621217e-07,1.5,8.980167786140808e-08
