 ,Offset CM
-12.14E-3,1.000
-11.61E-3,0.000
-11.08E-3,1.000
-10.55E-3,2.000
-10.02E-3,1.000
-9.488E-3,2.000
-8.957E-3,3.000
-8.427E-3,3.000
-7.896E-3,3.000
-7.366E-3,5.000
-6.836E-3,11.00
-6.305E-3,14.00
-5.775E-3,13.00
-5.245E-3,17.00
-4.714E-3,21.00
-4.184E-3,21.00
-3.654E-3,26.00
-3.123E-3,30.00
-2.593E-3,26.00
-2.062E-3,38.00
-1.532E-3,50.00
-1.002E-3,44.00
-471.4E-6,58.00
58.95E-6,46.00
589.3E-6,60.00
1.120E-3,47.00
1.650E-3,51.00
2.180E-3,51.00
2.711E-3,52.00
3.241E-3,39.00
3.771E-3,46.00
4.302E-3,30.00
4.832E-3,42.00
5.363E-3,31.00
5.893E-3,23.00
6.423E-3,17.00
6.954E-3,17.00
7.484E-3,14.00
8.014E-3,11.00
8.545E-3,9.000
9.075E-3,6.000
9.605E-3,5.000
10.14E-3,2.000
10.67E-3,4.000
11.20E-3,4.000
11.73E-3,1.000
12.26E-3,1.000
12.79E-3,0.000
13.32E-3,0.000
13.85E-3,1.000
